rule,layer,floor,floor_lo,length_overlap,cos_A_C,below_A_C,cos_A_D,below_A_D
max_stability_any_layer,48,0.6775203,0.5234648,0.46099487,0.4452522099018097,True,0.8464786410331726,False
max_stability_overlap_lt_0.15,33,0.58780587,0.4743269,0.01991543,0.21412312984466553,True,0.8421312570571899,False
min_length_overlap,32,0.5600287,0.44815615,0.009633779,0.20398354530334473,True,0.841190755367279,False
