rule,layer,floor,floor_lo,length_overlap,cos_A_C,below_A_C,cos_A_D,below_A_D
max_stability_any_layer,2,0.9942396,0.98932403,0.9974736,-0.9776284694671631,True,0.9988983869552612,False
max_stability_overlap_lt_0.15,32,0.50883734,0.38733703,0.0034864405,0.19766880571842194,True,0.7090816497802734,False
min_length_overlap,32,0.50883734,0.38733703,0.0034864405,0.19766880571842194,True,0.7090816497802734,False
