tolerance,n,matched_len_A,matched_len_C,pctile_within_A,pctile_within_C,layer,floor,floor_lo,cosine,below
0.5,39,11.653846153846153,11.448717948717949,0.87,0.24,48,0.35306734,-0.25432876,0.5005772,False
1.0,43,11.546511627906977,11.325581395348838,0.87,0.24,48,0.41295934,0.09143132,0.62618464,False
2.0,52,11.365384615384615,11.317307692307692,0.82,0.24,48,0.45750076,0.2649157,0.6269145,False
3.0,53,11.330188679245284,11.273584905660377,0.82,0.24,48,0.5007421,0.20420231,0.706982,False
4.0,59,11.14406779661017,11.466101694915254,0.82,0.24,48,0.48894468,0.13857654,0.68236035,False
6.0,73,10.691780821917808,11.965753424657533,0.76,0.32,48,0.5190837,0.24175076,0.59745735,False
