lang,concept,arm,layer,cosine,floor_mean,floor_lo,floor_hi,length_overlap,below_floor
yor,sentiment,D,23,0.7894752,0.44674033,0.26802132,0.56035703,0.19599259,False
yor,sentiment,D,24,0.79850644,0.4783821,0.30793798,0.58742607,0.21516694,False
yor,sentiment,D,25,0.7972766,0.5008655,0.34263632,0.61042,0.214869,False
yor,sentiment,D,26,0.7985563,0.49675328,0.37712497,0.60431516,0.19168673,False
yor,sentiment,D,27,0.7934732,0.47388834,0.32466897,0.5701268,0.113565594,False
yor,sentiment,D,28,0.8083732,0.48981267,0.34088323,0.5977119,0.0792777,False
yor,sentiment,D,29,0.8056971,0.4926633,0.37350652,0.59658426,0.10282308,False
yor,sentiment,D,30,0.80372864,0.4955055,0.36760843,0.6063611,0.046886027,False
yor,sentiment,D,31,0.82754064,0.5461365,0.42903182,0.64261276,0.041213892,False
yor,sentiment,D,32,0.84119076,0.5600287,0.44815615,0.65156424,0.009633779,False
yor,sentiment,D,33,0.84213126,0.58780587,0.4743269,0.6755489,0.01991543,False
yor,sentiment,D,34,0.82026094,0.5108405,0.41296002,0.60832417,0.07447666,False
yor,sentiment,D,35,0.8303561,0.5153443,0.42914763,0.6115122,0.111069456,False
yor,sentiment,D,36,0.82298857,0.4966581,0.41339225,0.59394795,0.1321047,False
yor,sentiment,D,37,0.8179817,0.47182456,0.4061631,0.56884444,0.15546633,False
yor,sentiment,D,38,0.814366,0.4304095,0.26459488,0.54492056,0.17978175,False
yor,sentiment,D,39,0.8098198,0.45270568,0.3188733,0.5625063,0.17386882,False
yor,sentiment,D,40,0.79940605,0.4644507,0.31525075,0.5797065,0.13277148,False
yor,sentiment,D,41,0.8170272,0.51087224,0.38858306,0.6176474,0.18306004,False
yor,sentiment,D,42,0.82927877,0.5273112,0.39594436,0.6472946,0.123229615,False
yor,sentiment,D,43,0.81910855,0.5356218,0.37168607,0.6504123,0.11605681,False
yor,sentiment,D,44,0.81145054,0.5331402,0.37880504,0.64182687,0.13225077,False
yor,sentiment,D,45,0.79963934,0.53523433,0.39451542,0.64301443,0.09703377,False
yor,sentiment,D,46,0.78703463,0.52463794,0.40413186,0.6383066,0.101884656,False
yor,sentiment,D,47,0.75310427,0.50232416,0.40400934,0.6126072,0.15210967,False
yor,sentiment,D,48,0.84647864,0.6775203,0.5234648,0.7944341,0.46099487,False
