tolerance,n,matched_len_A,matched_len_C,pctile_within_A,pctile_within_C,layer,floor,floor_lo,cosine,below
0.5,39,11.653846153846153,11.448717948717949,0.87,0.24,2,0.89066523,0.16090456,-0.5646619,True
1.0,43,11.546511627906977,11.325581395348838,0.87,0.24,2,0.7854744,-0.9077142,-0.91954106,True
2.0,52,11.365384615384615,11.317307692307692,0.82,0.24,2,0.58528537,-0.90828055,-0.750276,False
3.0,53,11.330188679245284,11.273584905660377,0.82,0.24,2,0.767597,-0.6410657,-0.9527185,True
4.0,59,11.14406779661017,11.466101694915254,0.82,0.24,2,0.6578069,-0.51018417,-0.88655025,True
6.0,73,10.691780821917808,11.965753424657533,0.76,0.32,2,0.9714674,0.8995861,-0.94391257,True
