tolerance,n,matched_len_A,matched_len_C,pctile_within_A,pctile_within_C,layer,floor,floor_lo,cosine,below
0.5,39,11.653846153846153,11.448717948717949,0.87,0.24,16,0.3222161,0.09905049,0.22697955,False
1.0,43,11.546511627906977,11.325581395348838,0.87,0.24,16,0.37195858,0.1647601,0.22741431,False
2.0,52,11.365384615384615,11.317307692307692,0.82,0.24,16,0.35586855,0.011360154,0.2665138,False
3.0,53,11.330188679245284,11.273584905660377,0.82,0.24,16,0.38624674,0.25357246,0.17693749,True
4.0,59,11.14406779661017,11.466101694915254,0.82,0.24,16,0.35881686,0.11576063,0.18676542,False
6.0,73,10.691780821917808,11.965753424657533,0.76,0.32,16,0.42515653,0.2572533,0.19644041,True
